id,geoid,label,totpop,medage,sindads,sinmoms
0500000US21001,21001,"Adair County, Kentucky",18656,39,176,422
0500000US21003,21003,"Allen County, Kentucky",19956,39.2,176,486
0500000US21005,21005,"Anderson County, Kentucky",21421,38.4,240,566
0500000US21007,21007,"Ballard County, Kentucky",8249,42.4,82,168
0500000US21009,21009,"Barren County, Kentucky",42173,39.7,414,1205
0500000US21011,21011,"Bath County, Kentucky",11591,39.9,117,317
0500000US21013,21013,"Bell County, Kentucky",28691,41,285,854
0500000US21015,21015,"Boone County, Kentucky",118811,35.7,1199,2822
0500000US21017,21017,"Bourbon County, Kentucky",19985,40.7,195,628
0500000US21019,21019,"Boyd County, Kentucky",49542,41.8,449,1247
0500000US21021,21021,"Boyle County, Kentucky",28432,40.6,262,803
0500000US21023,21023,"Bracken County, Kentucky",8488,39.2,106,202
0500000US21025,21025,"Breathitt County, Kentucky",13878,40,135,309
0500000US21027,21027,"Breckinridge County, Kentucky",20059,41.6,196,408
0500000US21029,21029,"Bullitt County, Kentucky",74319,38.2,892,1872
0500000US21031,21031,"Butler County, Kentucky",12690,40.1,125,320
0500000US21033,21033,"Caldwell County, Kentucky",12984,42.6,133,338
0500000US21035,21035,"Calloway County, Kentucky",37191,34,246,767
0500000US21037,21037,"Campbell County, Kentucky",90336,37,957,2323
0500000US21039,21039,"Carlisle County, Kentucky",5104,42.9,41,126
0500000US21041,21041,"Carroll County, Kentucky",10811,37.6,166,320
0500000US21043,21043,"Carter County, Kentucky",27720,39.3,272,638
0500000US21045,21045,"Casey County, Kentucky",15955,40.6,167,358
0500000US21047,21047,"Christian County, Kentucky",73955,28.9,578,2881
0500000US21049,21049,"Clark County, Kentucky",35613,39.8,343,1056
0500000US21051,21051,"Clay County, Kentucky",21730,37.7,205,557
0500000US21053,21053,"Clinton County, Kentucky",10272,41.6,114,284
0500000US21055,21055,"Crittenden County, Kentucky",9315,42.6,89,180
0500000US21057,21057,"Cumberland County, Kentucky",6856,43.8,82,159
0500000US21059,21059,"Daviess County, Kentucky",96656,38.8,902,2926
0500000US21061,21061,"Edmonson County, Kentucky",12161,41.3,92,253
0500000US21063,21063,"Elliott County, Kentucky",7852,39.9,58,165
0500000US21065,21065,"Estill County, Kentucky",14672,41.3,169,403
0500000US21067,21067,"Fayette County, Kentucky",295803,33.7,2404,8732
0500000US21069,21069,"Fleming County, Kentucky",14348,40.1,139,319
0500000US21071,21071,"Floyd County, Kentucky",39451,39.9,375,1109
0500000US21073,21073,"Franklin County, Kentucky",49285,39.8,529,1634
0500000US21075,21075,"Fulton County, Kentucky",6813,42.8,51,241
0500000US21077,21077,"Gallatin County, Kentucky",8589,37.4,120,233
0500000US21079,21079,"Garrard County, Kentucky",16912,41.2,167,341
0500000US21081,21081,"Grant County, Kentucky",24662,35.3,299,696
0500000US21083,21083,"Graves County, Kentucky",37121,39.8,367,948
0500000US21085,21085,"Grayson County, Kentucky",25746,39.7,255,596
0500000US21087,21087,"Green County, Kentucky",11258,42.6,99,227
0500000US21089,21089,"Greenup County, Kentucky",36910,42,308,764
0500000US21091,21091,"Hancock County, Kentucky",8565,39.5,99,193
0500000US21093,21093,"Hardin County, Kentucky",105543,35,1053,3129
0500000US21095,21095,"Harlan County, Kentucky",29278,40.5,275,727
0500000US21097,21097,"Harrison County, Kentucky",18846,40.7,208,474
0500000US21099,21099,"Hart County, Kentucky",18199,40.1,181,399
0500000US21101,21101,"Henderson County, Kentucky",46250,39.8,449,1429
